2025-02-01 15:01:20,122 - INFO - Pod: workload-1738422079, Node: normal-worker, Intensity: 413.79, Region: ERCOT, Type: Actual
2025-02-01 15:01:30,079 - INFO - Pod: workload-1738422090, Node: normal-worker2, Intensity: 110.36, Region: NL, Type: Planned
2025-02-01 15:01:30,625 - INFO - Pod: workload-1738422090, Node: normal-worker2, Intensity: 110.36, Region: NL, Type: Actual
2025-02-01 15:01:40,542 - INFO - Pod: workload-1738422100, Node: normal-control-plane, Intensity: 234.82, Region: DE, Type: Planned
2025-02-01 15:01:41,080 - INFO - Pod: workload-1738422100, Node: normal-control-plane, Intensity: 234.82, Region: DE, Type: Actual
2025-02-01 15:01:51,002 - INFO - Pod: workload-1738422110, Node: normal-worker2, Intensity: 110.36, Region: NL, Type: Planned
2025-02-01 15:01:51,318 - INFO - Pod: workload-1738422110, Node: normal-worker2, Intensity: 110.36, Region: NL, Type: Actual
2025-02-01 15:02:01,449 - INFO - Pod: workload-1738422121, Node: normal-worker, Intensity: 375.41, Region: ERCOT, Type: Planned
2025-02-01 15:02:01,800 - INFO - Pod: workload-1738422121, Node: normal-worker, Intensity: 375.41, Region: ERCOT, Type: Actual
2025-02-01 15:02:11,902 - INFO - Pod: workload-1738422131, Node: normal-control-plane, Intensity: 243.45, Region: DE, Type: Planned
2025-02-01 15:02:12,398 - INFO - Pod: workload-1738422131, Node: normal-control-plane, Intensity: 243.45, Region: DE, Type: Actual
2025-02-01 15:02:22,356 - INFO - Pod: workload-1738422142, Node: normal-worker2, Intensity: 119.57, Region: NL, Type: Planned
2025-02-01 15:02:22,901 - INFO - Pod: workload-1738422142, Node: normal-worker2, Intensity: 119.57, Region: NL, Type: Actual
2025-02-01 15:02:32,816 - INFO - Pod: workload-1738422152, Node: normal-control-plane, Intensity: 243.45, Region: DE, Type: Planned
2025-02-01 15:02:33,153 - INFO - Pod: workload-1738422152, Node: normal-control-plane, Intensity: 243.45, Region: DE, Type: Actual
2025-02-01 15:02:43,234 - INFO - Pod: workload-1738422163, Node: normal-worker2, Intensity: 119.57, Region: NL, Type: Planned
2025-02-01 15:02:43,741 - INFO - Pod: workload-1738422163, Node: normal-worker2, Intensity: 119.57, Region: NL, Type: Actual
2025-02-01 15:02:53,687 - INFO - Pod: workload-1738422173, Node: normal-worker, Intensity: 375.41, Region: ERCOT, Type: Planned
2025-02-01 15:02:54,197 - INFO - Pod: workload-1738422173, Node: normal-worker, Intensity: 375.41, Region: ERCOT, Type: Actual
2025-02-01 15:03:04,158 - INFO - Pod: workload-1738422184, Node: normal-worker2, Intensity: 144.75, Region: NL, Type: Planned
2025-02-01 15:03:04,694 - INFO - Pod: workload-1738422184, Node: normal-worker2, Intensity: 144.75, Region: NL, Type: Actual
2025-02-01 15:03:14,435 - INFO - Pod: workload-1738422194, Node: normal-worker2, Intensity: 144.75, Region: NL, Type: Planned
2025-02-01 15:03:15,003 - INFO - Pod: workload-1738422194, Node: normal-worker2, Intensity: 144.75, Region: NL, Type: Actual
2025-02-01 15:03:24,945 - INFO - Pod: workload-1738422204, Node: normal-control-plane, Intensity: 267.87, Region: DE, Type: Planned
2025-02-01 15:03:25,513 - INFO - Pod: workload-1738422204, Node: normal-control-plane, Intensity: 267.87, Region: DE, Type: Actual
2025-02-01 15:03:35,477 - INFO - Pod: workload-1738422215, Node: normal-worker2, Intensity: 144.75, Region: NL, Type: Planned
2025-02-01 15:03:35,836 - INFO - Pod: workload-1738422215, Node: normal-worker2, Intensity: 144.75, Region: NL, Type: Actual
2025-02-01 15:03:45,953 - INFO - Pod: workload-1738422225, Node: normal-worker2, Intensity: 144.75, Region: NL, Type: Planned
2025-02-01 15:03:46,482 - INFO - Pod: workload-1738422225, Node: normal-worker2, Intensity: 144.75, Region: NL, Type: Actual
